taxonID,relatedTaxonID,relatedTaxonScientificName,type,referenceID,remarks,relatedTaxonLink,relatedTaxonOrder,relatedTaxonFamily,relatedTaxonFullName,relatedTaxonHTMLName
797,,Eupatorium compositifolium,eats,,,https://www.catalogue.life/data/taxon/49ef4b4d-49c2-4d5a-b9d3-7bfc5193c92b,Asterales,Asteraceae,Eupatorium compositifolium Walt.,<i>Eupatorium compositifolium</i> Walt.
797,,Eupatorium capillifolium,eats,,,https://www.catalogue.life/data/taxon/7afd610b-c606-4805-9f76-e5161a5c840c,Asterales,Asteraceae,Eupatorium capillifolium (Lam.) Small,<i>Eupatorium capillifolium</i> (Lam.) Small
1776,,Baccharis scandens,eats,,,https://www.catalogue.life/data/taxon/4a71939f-7bf0-47d8-befb-e125191fecef,Asterales,Asteraceae,Baccharis scandens (Ruiz & Pav.) Pers.,<i>Baccharis scandens</i> (Ruiz & Pav.) Pers.
651,,Ageratina dendroides,eats,,,https://www.catalogue.life/data/taxon/db5ed533-f2fb-43ff-962a-b7b4e08b20d7,Asterales,Asteraceae,Raulinoreitzia crenulata (Spreng.) R. King & H. Rob.,<i>Raulinoreitzia crenulata</i> (Spreng.) R. King & H. Rob.
1625,,Lysionotus pauciflorus,eats,,,https://www.catalogue.life/data/taxon/fe278b2c-087f-40cb-a4b7-ad05b57eca4c,Lamiales,Gesneriaceae,Lysionotus pauciflorus Maxim.,<i>Lysionotus pauciflorus</i> Maxim.
1625,,Conandron ramondioides,eats,,,https://www.catalogue.life/data/taxon/5f5c49ca-14b3-4ec5-8869-374cbf79e4be,Lamiales,Gesneriaceae,Conandron ramondioides Sieb. & Zucc.,<i>Conandron ramondioides</i> Sieb. & Zucc.
929,,Melanthera prostrata,eats,,,https://www.catalogue.life/data/taxon/d2d3d72a-92c3-4bdc-9770-6f51f8b74aa9,Asterales,Asteraceae,Wollastonia dentata (H. Lév. & Vaniot) Orchard,<i>Wollastonia dentata</i> (H. Lév. & Vaniot) Orchard
929,,Melanthera robusta,eats,,,https://www.catalogue.life/data/taxon/7e7753a0-235a-4bf8-b90d-1b7116427f1e,Asterales,Asteraceae,Melanthera robusta (Makino) K. Ohashi & H. Ohashi,<i>Melanthera robusta</i> (Makino) K. Ohashi & H. Ohashi
929,,Melanthera biflora subsp. ryukyuensis,eats,,,https://www.catalogue.life/data/taxon/b8e9f8bc-1614-4151-8561-453b0b47e150,Asparagales,Amaryllidaceae,Narcissus concolor (Haw.) LinkN. jonquilla subsp. fernandesii × N. lusitanicus ?,<i>Narcissus concolor</i> (Haw.) LinkN. jonquilla subsp. fernandesii × N. lusitanicus ?
134,,Frankenia portulacifolia,eats,,,https://www.catalogue.life/data/taxon/df53ae4f-8d82-4fe1-8fa2-f76fead415cc,Caryophyllales,Frankeniaceae,Frankenia portulacifolia (Roxb.) Spreng.,<i>Frankenia portulacifolia</i> (Roxb.) Spreng.
1164,,Espeletia grandiflora,eats,,,https://www.catalogue.life/data/taxon/84113c33-0186-444f-9f0d-666aaaf46d9f,Asterales,Asteraceae,Espeletia grandiflora Humb. & Bonpl.,<i>Espeletia grandiflora</i> Humb. & Bonpl.
1164,,Espeletia uribei,eats,,,https://www.catalogue.life/data/taxon/46171679-5b15-44fe-a9af-806f0e61a366,Asterales,Asteraceae,Espeletia uribei Cuatrec.,<i>Espeletia uribei</i> Cuatrec.
2325,,Neobartsia peruviana,eats,1737,,https://www.catalogue.life/data/taxon/7f8093f3-a146-46bf-9240-1d517e704d39,Lamiales,Orobanchaceae,Neobartsia peruviana (Walp.) Uribe-Convers & Tank,<i>Neobartsia peruviana</i> (Walp.) Uribe-Convers & Tank
102,,Heterischnus ridibundus,has parasitoid,,,https://www.catalogue.life/data/taxon/99dc773f-2251-4bd2-9e37-828c6a0d31c9,Hymenoptera,Ichneumonidae,"Heterischnus ridibundus (Costa, 1885)","<i>Heterischnus ridibundus</i> (Costa, 1885)"
91,,Choeras tedellae,has parasitoid,,,,Hymenoptera,Braconidae,Choeras tedellae (Nixon 1961),<i>Choeras tedellae</i> (Nixon 1961)
2013,,Scambus brevicornis,has parasitoid,,,https://www.catalogue.life/data/taxon/dd8b19a8-18d3-456b-83f9-2adde78810d8,Hymenoptera,Ichneumonidae,"Scambus brevicornis (Gravenhorst, 1829)","<i>Scambus brevicornis</i> (Gravenhorst, 1829)"
1977,,Microgaster stictica,has parasitoid,,,https://www.catalogue.life/data/taxon/c0cb7415-25ad-48cd-82ae-e9f0baacfe0e,Hymenoptera,Braconidae,"Microgaster stictica Ruthe, 1858","<i>Microgaster stictica</i> Ruthe, 1858"
1977,,Microgaster alebion,has parasitoid,,,https://www.catalogue.life/data/taxon/32c5c967-3d06-4f4d-ab49-19dd193b5dbd,Hymenoptera,Braconidae,"Microgaster alebion Nixon, 1968","<i>Microgaster alebion</i> Nixon, 1968"
1977,,Oedemopsis scabricula,has parasitoid,,,https://www.catalogue.life/data/taxon/33de3ea3-2b87-4eb4-80fc-58e22432fa12,Hymenoptera,Ichneumonidae,"Oedemopsis scabricula (Gravenhorst, 1829)","<i>Oedemopsis scabricula</i> (Gravenhorst, 1829)"
2066,,Dusona bicoloripes,has parasitoid,,as Epiurus bicoloripes,https://www.catalogue.life/data/taxon/c42c168a-95a6-4104-bdc3-40badae5167b,Hymenoptera,Ichneumonidae,"Dusona seamansi (Viereck, 1925)","<i>Dusona seamansi</i> (Viereck, 1925)"
2066,,Diadegma,has parasitoid,,as Angitia,https://www.catalogue.life/data/taxon/36f7a1a2-a857-46c3-b46f-6fb2de682a1e,Hymenoptera,Ichneumonidae,Diadegma,<i>Diadegma</i>
2066,,Campoplex,has parasitoid,,,https://www.catalogue.life/data/taxon/ad722430-d09d-4dfb-aa68-2fe44094f7ff,Hymenoptera,Ichneumonidae,Campoplex,<i>Campoplex</i>
2066,,Hemiteles,has parasitoid,,,https://www.catalogue.life/data/taxon/1f48f3a3-e1c5-4d93-978d-307a2552073f,Hymenoptera,Ichneumonidae,Hemiteles,<i>Hemiteles</i>
1939,,Phytomyptera,has parasitoid,,as Elfia,https://www.catalogue.life/data/taxon/140e8817-a164-4f27-a0e9-d21acac2325d,Diptera,Tachinidae,Phytomyptera,<i>Phytomyptera</i>
1939,,Strongygaster triangulifer,has parasitoid,,as Hyalomyodes triangulifer,https://www.catalogue.life/data/taxon/6cd6e144-ee6d-4466-a8ef-d4c217a33038,Diptera,Tachinidae,"Strongygaster triangulifer (Loew, 1863)","<i>Strongygaster triangulifer</i> (Loew, 1863)"
1939,,Diadegma platyptiliae,has parasitoid,,as Angitia platyptiliae,https://www.catalogue.life/data/taxon/1166079a-05bf-4a84-8c93-964657dd2af6,Hymenoptera,Ichneumonidae,"Diadegma acutum (Viereck, 1925)","<i>Diadegma acutum</i> (Viereck, 1925)"
1939,,Gelis,has parasitoid,,,https://www.catalogue.life/data/taxon/485fc185-0c46-4384-b50c-a6e9a3119e95,Hymenoptera,Ichneumonidae,Gelis,<i>Gelis</i>
1939,,Dibrachys cavus,has parasitoid,,,https://www.catalogue.life/data/taxon/f1161697-9c82-4f1a-9e21-74c801a1ec91,Hymenoptera,Pteromalidae,"Dibrachys cavus (Walker, 1835)","<i>Dibrachys cavus</i> (Walker, 1835)"
1939,,Dusona bicoloripes,has parasitoid,,as Epiurus bicoloripes,https://www.catalogue.life/data/taxon/c42c168a-95a6-4104-bdc3-40badae5167b,Hymenoptera,Ichneumonidae,"Dusona seamansi (Viereck, 1925)","<i>Dusona seamansi</i> (Viereck, 1925)"
1939,,Phaeogenes,has parasitoid,,,https://www.catalogue.life/data/taxon/f98a11ec-a94f-49f7-ae49-51c1943c6d79,Hymenoptera,Ichneumonidae,Phaeogenes,<i>Phaeogenes</i>
1939,,Pachyneuron allograptae,has parasitoid,,,https://www.catalogue.life/data/taxon/5a165b4f-858c-41dc-9f4a-34638d7048e2,Hymenoptera,Pteromalidae,"Pachyneuron albutius Walker, 1843","<i>Pachyneuron albutius</i> Walker, 1843"
1939,,Colpognathus helvus,has parasitoid,,,https://www.catalogue.life/data/taxon/c0b26ad8-ac5a-419d-8f65-1af6ce5911ee,Hymenoptera,Ichneumonidae,"Colpognathus helvus (Cresson, 1867)","<i>Colpognathus helvus</i> (Cresson, 1867)"
1939,,Bracon nevadensis,has parasitoid,,as Microbracon nevadensis,https://www.catalogue.life/data/taxon/f0761e46-a0a1-4054-a4f7-031105584647,Hymenoptera,Braconidae,"Bracon nevadensis Ashmead, 1889","<i>Bracon nevadensis</i> Ashmead, 1889"
1939,,Strongygaster triangulifer,has parasitoid,,as Hyalomyodes triangulifer,https://www.catalogue.life/data/taxon/6cd6e144-ee6d-4466-a8ef-d4c217a33038,Diptera,Tachinidae,"Strongygaster triangulifer (Loew, 1863)","<i>Strongygaster triangulifer</i> (Loew, 1863)"
1939,,Lispidea,has parasitoid,,,,Diptera,Tachinidae,"Lispidea Coquillett, 1895","<i>Lispidea</i> Coquillett, 1895"
1939,,Plectops,has parasitoid,,,,Diptera,Tachinidae,"Plectops Coquillett, 1895","<i>Plectops</i> Coquillett, 1895"
1618,,Heterischnus,has parasitoid,,as Posocentrus,https://www.catalogue.life/data/taxon/e005fbe8-0171-4cc0-8a7e-1d8920536788,Hymenoptera,Ichneumonidae,Heterischnus,<i>Heterischnus</i>
2389,,Pristomerus hawaiiensis,has parasitoid,,,https://www.catalogue.life/data/taxon/eda8bb79-3424-446a-a132-33bc7f9f7a8d,Hymenoptera,Ichneumonidae,"Pristomerus hawaiiensis Perkins, 1910","<i>Pristomerus hawaiiensis</i> Perkins, 1910"
2372,,Horogenes blackburni,has parasitoid,,,,Hymenoptera,Ichneumonidae,"Horogenes blackburni (Cameron, 1883)","<i>Horogenes blackburni</i> (Cameron, 1883)"
2372,,Hyposoter exiguae,has parasitoid,,,https://www.catalogue.life/data/taxon/11238ba2-2fc8-4c58-adba-440760f31409,Hymenoptera,Ichneumonidae,"Hyposoter exiguae (Viereck, 1912)","<i>Hyposoter exiguae</i> (Viereck, 1912)"
2256,,Heterischnus bicolorator,has parasitoid,,,https://www.catalogue.life/data/taxon/7c0f25ba-8273-4c28-b37e-f85858ec718c,Hymenoptera,Ichneumonidae,"Heterischnus bicolorator (Aubert, 1965)","<i>Heterischnus bicolorator</i> (Aubert, 1965)"
1589,,Heterischnus huardi,has parasitoid,,,https://www.catalogue.life/data/taxon/68a56061-b054-4d1e-9889-8d25915fd38a,Hymenoptera,Ichneumonidae,"Heterischnus huardi (Provancher, 1875)","<i>Heterischnus huardi</i> (Provancher, 1875)"
1589,,Campopleginae,has parasitoid,,,,Hymenoptera,Ichneumonidae,"Campopleginae Förster, 1869","Campopleginae Förster, 1869"
1589,,Apanteles insignis,has parasitoid,,,https://www.catalogue.life/data/taxon/0eee03a4-4ab8-492c-bbe0-0a36e3f0afc4,Hymenoptera,Braconidae,"Apanteles insignis Muesebeck, 1938","<i>Apanteles insignis</i> Muesebeck, 1938"
1568,,Trigonospila brevifacies,has parasitoid,,,https://www.catalogue.life/data/taxon/8bda04eb-85cf-4dee-b06b-7062be70cf54,Diptera,Tachinidae,"Trigonospila brevifacies (Hardy, 1934)","<i>Trigonospila brevifacies</i> (Hardy, 1934)"
