ID,parentID,nameID,scrutinizer,scrutinizerDate,provisional,referenceID,extinct,temporalRangeEnd,lifezone,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,genus,uninomial,species,remarks
68,18,68,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis dimetra,
70,18,70,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis eberti,
71,18,71,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis endrodyi,
72,18,72,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis espunae,
73,18,73,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis facetus,
74,18,74,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis falkovitshi,
75,18,75,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis flavissima,
77,18,77,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis frankeniae,
85,18,85,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis furcata,
86,18,86,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis gambiensis,
87,18,87,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis gerasimovi,
89,18,89,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis gibberipennis,
90,18,90,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis gittia,
91,18,91,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis glaseri,
92,18,92,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis gornostaevi,
93,18,93,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis haghieri,
94,18,94,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis hakimah,
95,18,95,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis halodelta,
97,18,97,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis hartigi,
98,18,98,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis heydeni,
101,18,101,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis huemeri,
102,18,102,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis hulli,
103,18,103,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis incisa,
104,18,104,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis infumata,
105,18,105,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis ingens,
106,18,106,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis insidiatrix,
107,18,107,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis insolitus,
108,18,108,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis intermedia,
111,18,111,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis iranica,
112,18,112,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis iversoni,
113,18,113,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis jansei,
115,18,115,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis karakalensis,
116,18,116,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis karischi,
117,18,117,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis kaunda,
118,18,118,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis kenyana,
119,18,119,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis kevintucki,
120,18,120,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis korana,
121,18,121,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis krooni,
122,18,122,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis kruegeri,
123,18,123,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis linnaei,
124,18,124,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis lomholdti,
125,18,125,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis maghrebi,
126,18,126,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis malitiosa,
127,18,127,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis malleana,
128,18,128,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis manas,
129,18,129,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis manicata,
134,18,134,C. Gielis & D. Hobern,2020-10-26,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis marionae,
135,18,135,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis melitensis,
136,18,136,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis meridionalis,
144,18,144,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis mevlaniella,
145,18,145,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis meyi,
146,18,146,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis minima,
147,18,147,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis morini,
149,18,149,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis murgabica,
150,18,150,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis myburgi,
151,18,151,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis namaqua,
152,18,152,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis namibiana,
153,18,153,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis nanodes,
156,18,156,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis neglecta,
157,18,157,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis nigra,
158,18,158,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis nikolaii,
159,18,159,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis notabilis,
160,18,160,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis nyasa,
161,18,161,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis obstinata,
